index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
0,"5/24/20, 14:41 - Ḅj: 🤯
",Ḅj,🤯,,2020-05-24 14:41:00,14,6
16,"5/24/20, 15:02 - AI Derek: We start
",AI Derek,We start,we start,2020-05-24 15:02:00,15,6
17,"5/24/20, 15:02 - AI Derek: Hope we all now
",AI Derek,Hope we all now,hope we all now,2020-05-24 15:02:00,15,6
18,"5/24/20, 19:02 - AI Derek: Paul Azunre is on now
",AI Derek,Paul Azunre is on now,paul azunre is on now,2020-05-24 19:02:00,19,6
19,"5/24/20, 19:02 - AI Derek: He’s speaking next
",AI Derek,He’s speaking next,hes speaking next,2020-05-24 19:02:00,19,6
20,"5/24/20, 19:02 - AI Derek: Let’s hype it
",AI Derek,Let’s hype it,lets hype it,2020-05-24 19:02:00,19,6
1,"5/24/20, 19:02 - Ḅj: alright
",Ḅj,alright,alright,2020-05-24 19:02:00,19,6
21,"5/24/20, 19:40 - AI Derek: @233504782862 please record
",AI Derek,@233504782862 please record, please record,2020-05-24 19:40:00,19,6
22,"5/24/20, 19:40 - AI Derek: Gimme hosting right too
",AI Derek,Gimme hosting right too,gimme hosting right too,2020-05-24 19:40:00,19,6
2,"5/24/20, 19:40 - Ḅj: alright
",Ḅj,alright,alright,2020-05-24 19:40:00,19,6
3,"5/24/20, 19:43 - Ḅj: Done
",Ḅj,Done,done,2020-05-24 19:43:00,19,6
23,"5/24/20, 19:45 - AI Derek: Sure
",AI Derek,Sure,sure,2020-05-24 19:45:00,19,6
24,"5/24/20, 19:46 - AI Derek: @233247936396 are you able to take pictures too
",AI Derek,@233247936396 are you able to take pictures too, are you able to take pictures too,2020-05-24 19:46:00,19,6
0,"5/24/20, 19:47 - Sadat Notitia: No. I'm moving now so I can't do that at the moment
",Sadat Notitia,No. I'm moving now so I can't do that at the moment,no im moving now so i cant do that at the moment,2020-05-24 19:47:00,19,6
25,"5/24/20, 19:47 - AI Derek: We need to to design thank you flyer  with some pics
",AI Derek,We need to to design thank you flyer  with some pics,we need to to design thank you flyer  with some pics,2020-05-24 19:47:00,19,6
28,"5/24/20, 19:47 - AI Derek: So we can use
",AI Derek,So we can use,so we can use,2020-05-24 19:47:00,19,6
27,"5/24/20, 19:47 - AI Derek: I’ve some
",AI Derek,I’ve some,ive some,2020-05-24 19:47:00,19,6
26,"5/24/20, 19:47 - AI Derek: Sure
",AI Derek,Sure,sure,2020-05-24 19:47:00,19,6
1,"5/24/20, 20:00 - Sadat Notitia: Sharp
",Sadat Notitia,Sharp,sharp,2020-05-24 20:00:00,20,6
2,"5/24/20, 22:10 - Sadat Notitia: Sharp
",Sadat Notitia,Sharp,sharp,2020-05-24 22:10:00,22,6
3,"5/24/20, 22:13 - Norbert Notitia: Great Job. Big ups to Derrick for pulling this up. Great Great. Traction was great
",Norbert Notitia,Great Job. Big ups to Derrick for pulling this up. Great Great. Traction was great,great job big ups to derrick for pulling this up great great traction was great,2020-05-24 22:13:00,22,6
4,"5/24/20, 22:13 - Ḅj: exactly
",Ḅj,exactly,exactly,2020-05-24 22:13:00,22,6
42,"5/24/20, 22:15 - AI Derek: 🔥🙌🏿
",AI Derek,🔥🙌🏿,,2020-05-24 22:15:00,22,6
0,"5/24/20, 23:54 - Alex Notitia: Fantastic.
",Alex Notitia,Fantastic.,fantastic,2020-05-24 23:54:00,23,6
43,"5/24/20, 23:59 - AI Derek: @233247936396 send me ur email address please
",AI Derek,@233247936396 send me ur email address please, send me ur email address please,2020-05-24 23:59:00,23,6
3,"5/25/20, 00:01 - Sadat Notitia: ssaeed581@gmail.com
",Sadat Notitia,ssaeed581@gmail.com,ssaeedgmailcom,2020-05-25 00:01:00,0,0
44,"5/25/20, 00:04 - AI Derek: Ah send you the certificate sample
",AI Derek,Ah send you the certificate sample,ah send you the certificate sample,2020-05-25 00:04:00,0,0
4,"5/25/20, 00:05 - Sadat Notitia: Okay boss
",Sadat Notitia,Okay boss,okay boss,2020-05-25 00:05:00,0,0
45,"5/25/20, 00:05 - AI Derek: Take design make we take do give them
",AI Derek,Take design make we take do give them,take design make we take do give them,2020-05-25 00:05:00,0,0
5,"5/25/20, 00:06 - Sadat Notitia: Sure
",Sadat Notitia,Sure,sure,2020-05-25 00:06:00,0,0
4,"5/25/20, 07:43 - Norbert Notitia: @233243319300 can you put the next steps here, what to expect and how we can all get to work.
",Norbert Notitia,"@233243319300 can you put the next steps here, what to expect and how we can all get to work.", can you put the next steps here what to expect and how we can all get to work,2020-05-25 07:43:00,7,0
5,"5/25/20, 07:43 - Norbert Notitia: Thanks
",Norbert Notitia,Thanks,thanks,2020-05-25 07:43:00,7,0
46,"5/25/20, 07:44 - AI Derek: Sure sure
",AI Derek,Sure sure,sure sure,2020-05-25 07:44:00,7,0
47,"5/25/20, 07:44 - AI Derek: @233249435529 will give us state of the platform
",AI Derek,@233249435529 will give us state of the platform, will give us state of the platform,2020-05-25 07:44:00,7,0
6,"5/25/20, 07:45 - Norbert Notitia: Great.
",Norbert Notitia,Great.,great,2020-05-25 07:45:00,7,0
48,"5/25/20, 07:45 - AI Derek: @233247936396 will work on the thank you flyer for the webinar 
",AI Derek,@233247936396 will work on the thank you flyer for the webinar , will work on the thank you flyer for the webinar ,2020-05-25 07:45:00,7,0
49,"5/25/20, 07:45 - AI Derek: Myself and @233504782862 will start working on some models to be integrated
",AI Derek,Myself and @233504782862 will start working on some models to be integrated,myself and  will start working on some models to be integrated,2020-05-25 07:45:00,7,0
1,"5/25/20, 07:46 - Alex Notitia: Great.
",Alex Notitia,Great.,great,2020-05-25 07:46:00,7,0
7,"5/25/20, 07:46 - Norbert Notitia: Perfect
",Norbert Notitia,Perfect,perfect,2020-05-25 07:46:00,7,0
8,"5/25/20, 07:46 - Norbert Notitia: Great. Are there timelines
",Norbert Notitia,Great. Are there timelines,great are there timelines,2020-05-25 07:46:00,7,0
50,"5/25/20, 07:46 - AI Derek: @233554349393 our reach has to be expanded still so we need to be talking to people about it 
",AI Derek,@233554349393 our reach has to be expanded still so we need to be talking to people about it , our reach has to be expanded still so we need to be talking to people about it ,2020-05-25 07:46:00,7,0
51,"5/25/20, 07:47 - AI Derek: @233247936396 should be done with thank you flyer before close of today 
",AI Derek,@233247936396 should be done with thank you flyer before close of today , should be done with thank you flyer before close of today ,2020-05-25 07:47:00,7,0
52,"5/25/20, 07:47 - AI Derek: Myself and @233504782862 will have up to Wednesday to get our work together
",AI Derek,Myself and @233504782862 will have up to Wednesday to get our work together,myself and  will have up to wednesday to get our work together,2020-05-25 07:47:00,7,0
9,"5/25/20, 07:47 - Norbert Notitia: Let's get more  content out there. On data science. Latest trend news etc. Locally and globally.
",Norbert Notitia,Let's get more  content out there. On data science. Latest trend news etc. Locally and globally.,lets get more  content out there on data science latest trend news etc locally and globally,2020-05-25 07:47:00,7,0
10,"5/25/20, 07:47 - Norbert Notitia: Post opportunities
",Norbert Notitia,Post opportunities,post opportunities,2020-05-25 07:47:00,7,0
53,"5/25/20, 07:48 - AI Derek: Great
",AI Derek,Great,great,2020-05-25 07:48:00,7,0
11,"5/25/20, 07:48 - Norbert Notitia: Can we schedule a call to plan this further. I can help with a content strategy then the person doing social media will populate it
",Norbert Notitia,Can we schedule a call to plan this further. I can help with a content strategy then the person doing social media will populate it,can we schedule a call to plan this further i can help with a content strategy then the person doing social media will populate it,2020-05-25 07:48:00,7,0
13,"5/25/20, 07:49 - Norbert Notitia: We could do some live Twitter chats as well.
",Norbert Notitia,We could do some live Twitter chats as well.,we could do some live twitter chats as well,2020-05-25 07:49:00,7,0
14,"5/25/20, 07:49 - Norbert Notitia: I'll be waiting my boss
",Norbert Notitia,I'll be waiting my boss,ill be waiting my boss,2020-05-25 07:49:00,7,0
57,"5/25/20, 07:49 - AI Derek: Sure
",AI Derek,Sure,sure,2020-05-25 07:49:00,7,0
56,"5/25/20, 07:49 - AI Derek: True
",AI Derek,True,true,2020-05-25 07:49:00,7,0
55,"5/25/20, 07:49 - AI Derek: He will get in touch
",AI Derek,He will get in touch,he will get in touch,2020-05-25 07:49:00,7,0
54,"5/25/20, 07:49 - AI Derek: @233247936396
",AI Derek,@233247936396,,2020-05-25 07:49:00,7,0
12,"5/25/20, 07:49 - Norbert Notitia: So we know what we're posting at each point in time.
",Norbert Notitia,So we know what we're posting at each point in time.,so we know what were posting at each point in time,2020-05-25 07:49:00,7,0
58,"5/25/20, 07:50 - AI Derek: So If everything go as planned notitia should be live by 15th June
",AI Derek,So If everything go as planned notitia should be live by 15th June,so if everything go as planned notitia should be live by th june,2020-05-25 07:50:00,7,0
59,"5/25/20, 07:50 - AI Derek: And we will have a webinar on 14th June to introduce it
",AI Derek,And we will have a webinar on 14th June to introduce it,and we will have a webinar on th june to introduce it,2020-05-25 07:50:00,7,0
60,"5/25/20, 07:51 - AI Derek: Anyone here good with visuals and animations stuff ?
",AI Derek,Anyone here good with visuals and animations stuff ?,anyone here good with visuals and animations stuff ,2020-05-25 07:51:00,7,0
63,"5/25/20, 07:51 - AI Derek: So we need to start thinking about it
",AI Derek,So we need to start thinking about it,so we need to start thinking about it,2020-05-25 07:51:00,7,0
61,"5/25/20, 07:51 - AI Derek: Yes yes
",AI Derek,Yes yes,yes yes,2020-05-25 07:51:00,7,0
64,"5/25/20, 07:51 - AI Derek: Every idea is welcome
",AI Derek,Every idea is welcome,every idea is welcome,2020-05-25 07:51:00,7,0
15,"5/25/20, 07:51 - Norbert Notitia: There should be a hype prior to the launch.
",Norbert Notitia,There should be a hype prior to the launch.,there should be a hype prior to the launch,2020-05-25 07:51:00,7,0
16,"5/25/20, 07:51 - Norbert Notitia: And what should happen before and after the launch.
",Norbert Notitia,And what should happen before and after the launch.,and what should happen before and after the launch,2020-05-25 07:51:00,7,0
62,"5/25/20, 07:51 - AI Derek: True
",AI Derek,True,true,2020-05-25 07:51:00,7,0
17,"5/25/20, 07:52 - Norbert Notitia: @233243319300 can we have a call within the week on zoom so we can all put things together quickly
",Norbert Notitia,@233243319300 can we have a call within the week on zoom so we can all put things together quickly, can we have a call within the week on zoom so we can all put things together quickly,2020-05-25 07:52:00,7,0
65,"5/25/20, 07:52 - AI Derek: But this time it should be a better and better version of yesterday webinar
",AI Derek,But this time it should be a better and better version of yesterday webinar,but this time it should be a better and better version of yesterday webinar,2020-05-25 07:52:00,7,0
66,"5/25/20, 07:52 - AI Derek: Yesterday was great but we can do more than that
",AI Derek,Yesterday was great but we can do more than that,yesterday was great but we can do more than that,2020-05-25 07:52:00,7,0
2,"5/25/20, 07:53 - Alex Notitia: We're mostly done with the frontend.
",Alex Notitia,We're mostly done with the frontend.,were mostly done with the frontend,2020-05-25 07:53:00,7,0
67,"5/25/20, 07:53 - AI Derek: Yes 
",AI Derek,Yes ,yes ,2020-05-25 07:53:00,7,0
70,"5/25/20, 07:54 - AI Derek: And the CV too
",AI Derek,And the CV too,and the cv too,2020-05-25 07:54:00,7,0
69,"5/25/20, 07:54 - AI Derek: How is the profile created
",AI Derek,How is the profile created,how is the profile created,2020-05-25 07:54:00,7,0
18,"5/25/20, 07:54 - Norbert Notitia: Perfect. Great progress out there great job boss.
",Norbert Notitia,Perfect. Great progress out there great job boss.,perfect great progress out there great job boss,2020-05-25 07:54:00,7,0
68,"5/25/20, 07:54 - AI Derek: Great
",AI Derek,Great,great,2020-05-25 07:54:00,7,0
19,"5/25/20, 07:55 - Norbert Notitia: Impressive. Do we have anything close to this locally
",Norbert Notitia,Impressive. Do we have anything close to this locally,impressive do we have anything close to this locally,2020-05-25 07:55:00,7,0
4,"5/25/20, 07:55 - Alex Notitia: Other features would be added.
",Alex Notitia,Other features would be added.,other features would be added,2020-05-25 07:55:00,7,0
3,"5/25/20, 07:55 - Alex Notitia: Well, it's based on the data you provide during the registration process.
",Alex Notitia,"Well, it's based on the data you provide during the registration process.",well its based on the data you provide during the registration process,2020-05-25 07:55:00,7,0
22,"5/25/20, 07:56 - Norbert Notitia: Then we're positioned
",Norbert Notitia,Then we're positioned,then were positioned,2020-05-25 07:56:00,7,0
20,"5/25/20, 07:56 - Norbert Notitia: Can you please set it up
",Norbert Notitia,Can you please set it up,can you please set it up,2020-05-25 07:56:00,7,0
21,"5/25/20, 07:56 - Norbert Notitia: We can do 7
",Norbert Notitia,We can do 7,we can do ,2020-05-25 07:56:00,7,0
71,"5/25/20, 07:56 - AI Derek: No
",AI Derek,No,no,2020-05-25 07:56:00,7,0
72,"5/25/20, 07:56 - AI Derek: None I know of
",AI Derek,None I know of,none i know of,2020-05-25 07:56:00,7,0
73,"5/25/20, 07:56 - AI Derek: That’s why it’s AI powered 
",AI Derek,That’s why it’s AI powered ,thats why its ai powered ,2020-05-25 07:56:00,7,0
74,"5/25/20, 07:57 - AI Derek: One other thing myself and @233504782862 are gonna put together is the recommender system
",AI Derek,One other thing myself and @233504782862 are gonna put together is the recommender system,one other thing myself and  are gonna put together is the recommender system,2020-05-25 07:57:00,7,0
75,"5/25/20, 07:58 - AI Derek: That will give idea on what next to do after our model analyse your CV and profile
",AI Derek,That will give idea on what next to do after our model analyse your CV and profile,that will give idea on what next to do after our model analyse your cv and profile,2020-05-25 07:58:00,7,0
76,"5/25/20, 07:58 - AI Derek: It will recommend courses or a particular type of mentor for you
",AI Derek,It will recommend courses or a particular type of mentor for you,it will recommend courses or a particular type of mentor for you,2020-05-25 07:58:00,7,0
77,"5/25/20, 07:58 - AI Derek: @233249435529 can we also integrate something like a dashboard for companies to post job opportunities?
",AI Derek,@233249435529 can we also integrate something like a dashboard for companies to post job opportunities?, can we also integrate something like a dashboard for companies to post job opportunities,2020-05-25 07:58:00,7,0
78,"5/25/20, 07:59 - AI Derek: Or we should be posting them
",AI Derek,Or we should be posting them,or we should be posting them,2020-05-25 07:59:00,7,0
24,"5/25/20, 08:01 - Norbert Notitia: David who does graphics
",Norbert Notitia,David who does graphics,david who does graphics,2020-05-25 08:01:00,8,0
23,"5/25/20, 08:01 - Norbert Notitia: This is very very impressive. Can't wait. So when we meet on Thursday we'll design the launch strategy
",Norbert Notitia,This is very very impressive. Can't wait. So when we meet on Thursday we'll design the launch strategy,this is very very impressive cant wait so when we meet on thursday well design the launch strategy,2020-05-25 08:01:00,8,0
79,"5/25/20, 08:02 - AI Derek: Great
",AI Derek,Great,great,2020-05-25 08:02:00,8,0
80,"5/25/20, 08:02 - AI Derek: @233247936396
",AI Derek,@233247936396,,2020-05-25 08:02:00,8,0
25,"5/25/20, 08:03 - Norbert Notitia: norbert@notitia.ai
",Norbert Notitia,norbert@notitia.ai,norbertnotitiaai,2020-05-25 08:03:00,8,0
81,"5/25/20, 08:03 - AI Derek: Also send your preferred email address to @233249435529 so he can use notitia to create for you
",AI Derek,Also send your preferred email address to @233249435529 so he can use notitia to create for you,also send your preferred email address to  so he can use notitia to create for you,2020-05-25 08:03:00,8,0
82,"5/25/20, 08:03 - AI Derek: @233249435529 please send me the info@notitia.site email logins too
",AI Derek,@233249435529 please send me the info@notitia.site email logins too, please send me the infonotitiasite email logins too,2020-05-25 08:03:00,8,0
84,"5/25/20, 08:04 - AI Derek: Sure say he bed
",AI Derek,Sure say he bed,sure say he bed,2020-05-25 08:04:00,8,0
26,"5/25/20, 08:04 - Norbert Notitia: Hi Boss. Can we link up
",Norbert Notitia,Hi Boss. Can we link up,hi boss can we link up,2020-05-25 08:04:00,8,0
83,"5/25/20, 08:04 - AI Derek: Sure
",AI Derek,Sure,sure,2020-05-25 08:04:00,8,0
27,"5/25/20, 08:05 - Norbert Notitia: 😅
",Norbert Notitia,😅,,2020-05-25 08:05:00,8,0
85,"5/25/20, 08:06 - AI Derek: I think Femi should be on our next webinar
",AI Derek,I think Femi should be on our next webinar,i think femi should be on our next webinar,2020-05-25 08:06:00,8,0
28,"5/25/20, 08:06 - Norbert Notitia: Most def
",Norbert Notitia,Most def,most def,2020-05-25 08:06:00,8,0
86,"5/25/20, 08:06 - AI Derek: Cos we need MEST
",AI Derek,Cos we need MEST,cos we need mest,2020-05-25 08:06:00,8,0
87,"5/25/20, 08:07 - AI Derek: Sharp
",AI Derek,Sharp,sharp,2020-05-25 08:07:00,8,0
89,"5/25/20, 08:07 - AI Derek: Sure
",AI Derek,Sure,sure,2020-05-25 08:07:00,8,0
88,"5/25/20, 08:07 - AI Derek: Perfect
",AI Derek,Perfect,perfect,2020-05-25 08:07:00,8,0
30,"5/25/20, 08:07 - Norbert Notitia: GTL will be a partner
",Norbert Notitia,GTL will be a partner,gtl will be a partner,2020-05-25 08:07:00,8,0
29,"5/25/20, 08:07 - Norbert Notitia: MEST will be a partner
",Norbert Notitia,MEST will be a partner,mest will be a partner,2020-05-25 08:07:00,8,0
90,"5/25/20, 08:07 - AI Derek: Can we get Accra Digital center CEO
",AI Derek,Can we get Accra Digital center CEO,can we get accra digital center ceo,2020-05-25 08:07:00,8,0
31,"5/25/20, 08:07 - Norbert Notitia: Derek we could Also work on some internships opps as well after the take off
",Norbert Notitia,Derek we could Also work on some internships opps as well after the take off,derek we could also work on some internships opps as well after the take off,2020-05-25 08:07:00,8,0
32,"5/25/20, 08:08 - Norbert Notitia: That will be cool.
",Norbert Notitia,That will be cool.,that will be cool,2020-05-25 08:08:00,8,0
92,"5/25/20, 08:08 - AI Derek: Oh yes 
",AI Derek,Oh yes ,oh yes ,2020-05-25 08:08:00,8,0
91,"5/25/20, 08:08 - AI Derek: Kofi is my friend 
",AI Derek,Kofi is my friend ,kofi is my friend ,2020-05-25 08:08:00,8,0
33,"5/25/20, 08:09 - Norbert Notitia: Yes.
",Norbert Notitia,Yes.,yes,2020-05-25 08:09:00,8,0
34,"5/25/20, 08:09 - Norbert Notitia: So we're doing something with SG Bank I'll work on bringing them on board
",Norbert Notitia,So we're doing something with SG Bank I'll work on bringing them on board,so were doing something with sg bank ill work on bringing them on board,2020-05-25 08:09:00,8,0
35,"5/25/20, 08:12 - Norbert Notitia: 👌🏽👌🏽
",Norbert Notitia,👌🏽👌🏽,,2020-05-25 08:12:00,8,0
93,"5/25/20, 08:12 - AI Derek: Nice one
",AI Derek,Nice one,nice one,2020-05-25 08:12:00,8,0
5,"5/25/20, 08:39 - Alex Notitia: Sure. I would make everyones email and password available tomorrow.
",Alex Notitia,Sure. I would make everyones email and password available tomorrow.,sure i would make everyones email and password available tomorrow,2020-05-25 08:39:00,8,0
7,"5/25/20, 08:39 - Alex Notitia: Even better.
",Alex Notitia,Even better.,even better,2020-05-25 08:39:00,8,0
36,"5/25/20, 08:39 - Norbert Notitia: Perfect
",Norbert Notitia,Perfect,perfect,2020-05-25 08:39:00,8,0
6,"5/25/20, 08:39 - Alex Notitia: Great.
",Alex Notitia,Great.,great,2020-05-25 08:39:00,8,0
37,"5/25/20, 08:40 - Norbert Notitia: Lol
",Norbert Notitia,Lol,lol,2020-05-25 08:40:00,8,0
94,"5/25/20, 09:17 - AI Derek: @jerry check this out 
",AI Derek,@jerry check this out ,jerry check this out ,2020-05-25 09:17:00,9,0
6,"5/25/20, 10:36 - Sadat Notitia: Oh boss
",Sadat Notitia,Oh boss,oh boss,2020-05-25 10:36:00,10,0
5,"5/25/20, 10:48 - Ḅj: Alright
",Ḅj,Alright,alright,2020-05-25 10:48:00,10,0
95,"5/25/20, 10:57 - AI Derek: 😀
",AI Derek,😀,,2020-05-25 10:57:00,10,0
6,"5/25/20, 11:00 - Ḅj: Very powerf kit by Huawei. I'll look into the usage and integration
",Ḅj,Very powerf kit by Huawei. I'll look into the usage and integration,very powerf kit by huawei ill look into the usage and integration,2020-05-25 11:00:00,11,0
96,"5/25/20, 11:01 - AI Derek: Sure
",AI Derek,Sure,sure,2020-05-25 11:01:00,11,0
8,"5/25/20, 11:03 - Ḅj: 🔥
",Ḅj,🔥,,2020-05-25 11:03:00,11,0
7,"5/25/20, 11:03 - Ḅj: Awesome
",Ḅj,Awesome,awesome,2020-05-25 11:03:00,11,0
98,"5/25/20, 11:18 - AI Derek: 🙌🏿🙌🏿
",AI Derek,🙌🏿🙌🏿,,2020-05-25 11:18:00,11,0
99,"5/25/20, 19:06 - AI Derek: @233247936396 is the thank you flyer ready ?
",AI Derek,@233247936396 is the thank you flyer ready ?, is the thank you flyer ready ,2020-05-25 19:06:00,19,0
7,"5/25/20, 20:04 - Sadat Notitia: I would send it soon please
",Sadat Notitia,I would send it soon please,i would send it soon please,2020-05-25 20:04:00,20,0
101,"5/25/20, 20:11 - AI Derek: Do add some of the pics on it
",AI Derek,Do add some of the pics on it,do add some of the pics on it,2020-05-25 20:11:00,20,0
100,"5/25/20, 20:11 - AI Derek: Sure
",AI Derek,Sure,sure,2020-05-25 20:11:00,20,0
8,"5/25/20, 20:33 - Sadat Notitia: Sure
",Sadat Notitia,Sure,sure,2020-05-25 20:33:00,20,0
8,"5/26/20, 01:38 - Alex Notitia: norbert@notitia.site  secret22&&
",Alex Notitia,norbert@notitia.site  secret22&&,norbertnotitiasite  secret,2020-05-26 01:38:00,1,1
9,"5/26/20, 01:40 - Sadat Notitia: Thanks
",Sadat Notitia,Thanks,thanks,2020-05-26 01:40:00,1,1
9,"5/26/20, 01:40 - Alex Notitia: Hello everyone these are your various emails and passwords. You can request for any modification.
",Alex Notitia,Hello everyone these are your various emails and passwords. You can request for any modification.,hello everyone these are your various emails and passwords you can request for any modification,2020-05-26 01:40:00,1,1
11,"5/26/20, 01:41 - Alex Notitia: 👍🏿
",Alex Notitia,👍🏿,,2020-05-26 01:41:00,1,1
9,"5/26/20, 01:41 - Ḅj: thanks
",Ḅj,thanks,thanks,2020-05-26 01:41:00,1,1
10,"5/26/20, 01:41 - Alex Notitia: Sure.
",Alex Notitia,Sure.,sure,2020-05-26 01:41:00,1,1
104,"5/26/20, 10:37 - AI Derek: This message was deleted
",AI Derek,This message was deleted,this message was deleted,2020-05-26 10:37:00,10,1
105,"5/27/20, 08:14 - AI Derek: Good morning everyone
",AI Derek,Good morning everyone,good morning everyone,2020-05-27 08:14:00,8,2
106,"5/27/20, 08:15 - AI Derek: This message was deleted
",AI Derek,This message was deleted,this message was deleted,2020-05-27 08:15:00,8,2
107,"5/27/20, 08:15 - AI Derek: Hope we all good
",AI Derek,Hope we all good,hope we all good,2020-05-27 08:15:00,8,2
108,"5/27/20, 08:15 - AI Derek: @233249435529 anything new
",AI Derek,@233249435529 anything new, anything new,2020-05-27 08:15:00,8,2
109,"5/27/20, 08:15 - AI Derek: @233247936396 is the certificate design too ready
",AI Derek,@233247936396 is the certificate design too ready, is the certificate design too ready,2020-05-27 08:15:00,8,2
110,"5/27/20, 08:16 - AI Derek: @233504782862 we need to do something but my Mac is with repairs so let’s wait for tomorrow
",AI Derek,@233504782862 we need to do something but my Mac is with repairs so let’s wait for tomorrow, we need to do something but my mac is with repairs so lets wait for tomorrow,2020-05-27 08:16:00,8,2
10,"5/27/20, 08:16 - Ḅj: Good morning Derek
",Ḅj,Good morning Derek,good morning derek,2020-05-27 08:16:00,8,2
11,"5/27/20, 08:16 - Ḅj: Yes please.
",Ḅj,Yes please.,yes please,2020-05-27 08:16:00,8,2
12,"5/27/20, 08:17 - Ḅj: Alright, sure.
",Ḅj,"Alright, sure.",alright sure,2020-05-27 08:17:00,8,2
12,"5/27/20, 08:33 - Alex Notitia: Yeah. For now am using a basic user selected specialization to give them a randomly selected  mentor from their specialized field.
",Alex Notitia,Yeah. For now am using a basic user selected specialization to give them a randomly selected  mentor from their specialized field.,yeah for now am using a basic user selected specialization to give them a randomly selected  mentor from their specialized field,2020-05-27 08:33:00,8,2
111,"5/27/20, 08:34 - AI Derek: How does it work
",AI Derek,How does it work,how does it work,2020-05-27 08:34:00,8,2
13,"5/27/20, 08:36 - Alex Notitia: The user is made to select a specialization e.g Data Science during the registration process.
",Alex Notitia,The user is made to select a specialization e.g Data Science during the registration process.,the user is made to select a specialization eg data science during the registration process,2020-05-27 08:36:00,8,2
113,"5/27/20, 08:36 - AI Derek: Great
",AI Derek,Great,great,2020-05-27 08:36:00,8,2
14,"5/27/20, 08:39 - Alex Notitia: Aptitude tests would be great.
",Alex Notitia,Aptitude tests would be great.,aptitude tests would be great,2020-05-27 08:39:00,8,2
13,"5/27/20, 08:41 - Ḅj: Sure
",Ḅj,Sure,sure,2020-05-27 08:41:00,8,2
116,"5/27/20, 08:41 - AI Derek: Maximum 4
",AI Derek,Maximum 4,maximum ,2020-05-27 08:41:00,8,2
114,"5/27/20, 08:41 - AI Derek: Great
",AI Derek,Great,great,2020-05-27 08:41:00,8,2
115,"5/27/20, 08:41 - AI Derek: One mentor can take up to 3 mentees
",AI Derek,One mentor can take up to 3 mentees,one mentor can take up to  mentees,2020-05-27 08:41:00,8,2
40,"5/27/20, 08:42 - Norbert Notitia: Ohk cool.
",Norbert Notitia,Ohk cool.,ohk cool,2020-05-27 08:42:00,8,2
117,"5/27/20, 08:42 - AI Derek: But for now depending on the number of mentors available
",AI Derek,But for now depending on the number of mentors available,but for now depending on the number of mentors available,2020-05-27 08:42:00,8,2
